strategy,cost_bps,cagr,annualized_vol,sharpe,max_drawdown,calmar,avg_turnover
rw_baseline,0.0,0.08581826764616585,0.14691840272591414,0.6367041055506221,-0.5591963390476076,0.15346714857312335,0.0738718506583923
rw_fullsample_best,0.0,0.0879571984394405,0.1503286536279297,0.6388421878422947,-0.5366556523607136,0.1638987646035637,0.01429046998594598
rw_oos_best_fixed_params,0.0,0.10207794304360163,0.1484868875672114,0.7326520193876154,-0.5469723146102808,0.18662360107994208,0.05165065260034339
fm_fullsample_best,0.0,0.08345118570362864,0.1516018091720636,0.6071325424502094,-0.5279379540120699,0.1580700631001058,0.07384615384615385
fm_oos_best_fixed_params,0.0,0.10308772052107162,0.15329858479707204,0.7204799344221386,-0.554952384365986,0.1857595776236655,0.2537878787878788
rw_baseline,5.0,0.08532978191816332,0.14692522754333873,0.6336010773230579,-0.5593675539715977,0.15254689213256728,0.0738718506583923
rw_fullsample_best,5.0,0.0878610447911854,0.15032738205240737,0.6382553503195237,-0.5367580138094388,0.163688370794177,0.01429046998594598
rw_oos_best_fixed_params,5.0,0.10174157474309631,0.14847064963121995,0.7306448404620335,-0.5471502664267662,0.1859481407320378,0.05165065260034339
fm_fullsample_best,5.0,0.08295904259530174,0.15158339499988438,0.6041712414805904,-0.5279379540120699,0.15713786433586302,0.07384615384615385
fm_oos_best_fixed_params,5.0,0.10142234179582199,0.15328598775370147,0.710605246083516,-0.5559241588807124,0.18243916940041585,0.2537878787878788
rw_baseline,10.0,0.0848414706437366,0.1469322200626018,0.6304976177368734,-0.5595387118541844,0.1516275261144867,0.0738718506583923
rw_fullsample_best,10.0,0.08776489550250655,0.15032613160453598,0.6376684132474989,-0.5368603572497008,0.1634780708192353,0.01429046998594598
rw_oos_best_fixed_params,10.0,0.10140526214878642,0.1484546553378171,0.7286360266126343,-0.5473281634420482,0.18527323993537445,0.05165065260034339
fm_fullsample_best,10.0,0.08246687980590606,0.15156637992170927,0.6012036712510251,-0.5279379540120702,0.156205628292488,0.07384615384615385
fm_oos_best_fixed_params,10.0,0.09975865037524834,0.15327709633216233,0.7007119938088887,-0.556894344771454,0.17913389013887124,0.2537878787878788
