strategy,months,cagr,annualized_vol,sharpe,max_drawdown,calmar
momentum_only,264,0.11432028118808035,0.15139220251577232,0.7949966655527583,-0.5279379540120701,0.21654113010686607
value_only,264,0.071318032736853,0.15209873611503014,0.5315769334708922,-0.5678066105958082,0.12560268127561583
ew_50_50,264,0.0936859561872625,0.1452626853970772,0.6925676589605493,-0.5467230863928231,0.17135906369966003
rw_baseline,264,0.10249010559137095,0.14834927773390977,0.7357106373793129,-0.5591963390476076,0.18328107398901514
rw_oos_best,264,0.10207794304360163,0.1484868875672114,0.7326520193876154,-0.5469723146102808,0.18662360107994208
rw_fullsample_best,264,0.11703341628610908,0.15260031305949637,0.8059726821154403,-0.5366556523607133,0.21807916449083634
fm_l1,264,0.10176636367512115,0.14976779989315508,0.7253839712441348,-0.5388123514166547,0.18887162368782986
fm_l3,264,0.10349477831530618,0.15015212628286578,0.7350136866856548,-0.5719425109398307,0.1809531138806956
fm_l6,264,0.10189796868907486,0.15494477662283637,0.7077649450146382,-0.5766292070389871,0.17671315889863573
fm_l12,264,0.1107702462901663,0.14889787659683992,0.7839602715299006,-0.5279379540120701,0.20981678897750508
fm_oos_best,264,0.10308772052107162,0.15329858479707204,0.7204799344221386,-0.554952384365986,0.1857595776236655
fm_fullsample_best,264,0.1107702462901663,0.14889787659683992,0.7839602715299006,-0.5279379540120701,0.20981678897750508
